Current / A, Power / W, Standard deviation of power / W
2.5e-05, 1.37969305e-08, 7.059745923188381e-10
5e-05, 2.2174113599999997e-08, 6.049193698295995e-10
7.5e-05, 3.17777966e-08, 7.496315112029641e-10
0.0001, 4.7120959e-08, 1.0724545011230074e-09
0.000125, 5.7325453700000006e-08, 1.2668102638541848e-09
0.00015, 6.844674750000001e-08, 1.3001596594317754e-09
0.000175, 7.91680417e-08, 1.1067656100507957e-09
0.0002, 9.03184588e-08, 1.292146179239237e-09
0.000225, 1.011998231e-07, 1.031544006912159e-09
0.00025, 1.1299790499999999e-07, 1.1907778718027145e-09
0.000275, 1.23959769e-07, 1.403255645860371e-09
0.0003, 1.3528123700000002e-07, 1.0418798840706178e-09
0.000325, 1.47483516e-07, 1.1967146208449201e-09
0.00035, 1.58700444e-07, 1.2913377214594138e-09
0.000375, 1.70841836e-07, 1.1420365156613872e-09
0.0004, 1.82170882e-07, 1.3188872120374837e-09
0.000425, 1.9419448499999998e-07, 1.1747116079170262e-09
0.00045, 2.05684042e-07, 1.1457036284467293e-09
0.000475, 2.17249429e-07, 1.2031965188442783e-09
0.0005, 2.2910119300000002e-07, 1.0964813741012668e-09
0.000525, 2.41297697e-07, 1.274338323676647e-09
0.00055, 2.52472889e-07, 1.3049170543291173e-09
0.000575, 2.6449994e-07, 1.0917913428856286e-09
0.0006, 2.76823012e-07, 1.1694283620025678e-09
0.000625, 2.88538223e-07, 1.291437848009343e-09
0.00065, 3.00724823e-07, 1.106087355352644e-09
0.000675, 3.1314017000000004e-07, 1.1678367544738425e-09
0.0007, 3.24987934e-07, 1.3972656753974873e-09
0.000725, 3.37094964e-07, 1.1205946299639332e-09
0.00075, 3.4945598e-07, 1.1893638726647125e-09
0.000775, 3.6138938700000004e-07, 1.3418024807068324e-09
0.0008, 3.73582384e-07, 1.1222017842366857e-09
0.000825, 3.86125377e-07, 1.2476101558062876e-09
0.00085, 3.98013723e-07, 1.2752371607944133e-09
0.000875, 4.1031271800000004e-07, 1.1268411345331715e-09
0.0009, 4.2271692400000003e-07, 1.2304877034021943e-09
0.000925, 4.34618787e-07, 1.2178725629683125e-09
0.00095, 4.4732284599999996e-07, 1.0896364211442275e-09
0.000975, 4.5410323899999986e-07, 6.141128396956067e-10
0.001, 4.66434598e-07, 7.400396262336244e-10
0.001025, 4.78759706e-07, 6.185221997341804e-10
0.00105, 4.91140581e-07, 7.119161941120655e-10
0.001075, 5.03362689e-07, 5.962716312881208e-10
0.0011, 5.15723756e-07, 7.267939986433519e-10
0.001125, 5.2803532e-07, 6.931261455175398e-10
0.00115, 5.403143259999999e-07, 6.005565899430306e-10
0.001175, 5.526929379999999e-07, 7.194322568220091e-10
0.0012, 5.650684360000001e-07, 6.561241558607699e-10
0.001225, 5.77356694e-07, 6.113552358195687e-10
0.00125, 5.8976428e-07, 6.293062367401004e-10
0.001275, 6.022171029999999e-07, 7.659632970260418e-10
0.0013, 6.14504834e-07, 6.180378357706019e-10
0.001325, 6.269166559999999e-07, 7.661340481038621e-10
0.00135, 6.392452760000001e-07, 6.569625147784266e-10
0.001375, 6.516719970000001e-07, 6.316697879359072e-10
0.0014, 6.64117679e-07, 7.48359535222876e-10
0.001425, 6.76422557e-07, 5.87690123067426e-10
0.00145, 6.88847996e-07, 6.121346861467589e-10
0.001475, 7.013003950000001e-07, 6.723718130431937e-10
0.0015, 7.137614550000002e-07, 6.323594136051096e-10